内蒙古卫视,rtp://239.200.200.57:8296
宁夏卫视,rtp://239.200.200.60:8308
新疆卫视,rtp://239.200.200.62:8316
西藏卫视,rtp://239.200.200.61:8312
三沙卫视,rtp://239.200.201.136:8140
嘉佳卡通,rtp://239.200.200.229:8372
卡酷少儿,rtp://239.200.200.64:8324
优购物,rtp://239.200.200.214:8728
家有购物,rtp://239.200.200.228:9004
CCTN,rtp://239.200.200.30:8500
中华特产,rtp://239.200.201.155:8124
临沧云县,rtp://239.200.201.10:8518
临沧凤庆,rtp://239.200.201.23:8498
临沧沧源,rtp://239.200.201.19:8534
央购物,rtp://239.200.200.174:8772
收藏天下,rtp://239.200.201.214:8700
昭通彝良,rtp://239.200.200.175:8360
楚雄元谋,rtp://239.200.201.59:8782
