CETV4,udp://239.45.1.243:5140
CETV早期教育,udp://239.45.0.54:5140
CHC家庭影院,udp://239.45.0.40:5140
CHC动作电影,udp://239.45.0.41:5140
CHC影迷电影,udp://239.45.0.42:5140
IPTV,udp://239.45.3.103:5140
乐游,udp://239.45.3.135:5140
茶频道,udp://239.45.3.18:5140
欢笑剧场 4K,udp://233.18.204.205:5140
北京卫视 4K,udp://233.18.204.209:5140
广东卫视 4K,udp://233.18.204.218:5140
深圳卫视 4K,udp://233.18.204.219:5140
东方卫视 4K,udp://233.18.204.224:5140
四川卫视 4K,udp://233.18.204.225:5140
江苏卫视 4K,udp://233.18.204.226:5140
湖南卫视 4K,udp://233.18.204.227:5140
山东卫视 4K,udp://233.18.204.228:5140
浙江卫视 4K,udp://233.18.204.229:5140
欢笑剧场 4K,udp://239.45.1.4:5140
北京卫视 4K,udp://239.45.3.123:5140
山东卫视 4K,udp://239.45.3.180:5140
四川卫视 4K,udp://239.45.3.48:5140
上海教育,udp://239.45.0.13:5140
甘肃卫视,udp://239.45.0.15:5140
东方财经,udp://239.45.0.17:5140
央广购物,udp://239.45.0.35:5140
青海卫视,udp://239.45.0.37:5140
金鹰卡通,udp://239.45.0.38:5140
河南卫视,udp://239.45.0.3:5140
云南卫视,udp://239.45.0.4:5140
三沙卫视,udp://239.45.0.56:5140
山西卫视,udp://239.45.0.57:5140
广西卫视,udp://239.45.0.5:5140
吉林卫视,udp://239.45.0.6:5140
卡酷少儿,udp://239.45.0.8:5140
金色学堂,udp://239.45.0.9:5140
安徽卫视,udp://239.45.1.120:5140
东南卫视,udp://239.45.1.121:5140
江西卫视,udp://239.45.1.122:5140
辽宁卫视,udp://239.45.1.123:5140
天津卫视,udp://239.45.1.124:5140
纪实科教,udp://239.45.1.14:5140
四川卫视,udp://239.45.1.23:5140
养生频道,udp://239.45.1.28:5140
河北卫视,udp://239.45.1.44:5140
金鹰纪实,udp://239.45.1.45:5140
法治天地,udp://239.45.1.46:5140
哈哈炫动,udp://239.45.1.55:5140
贵州卫视,udp://239.45.1.80:5140
海南卫视,udp://239.45.1.81:5140
四川卫视,udp://239.45.1.83:5140
重庆卫视,udp://239.45.1.84:5140
快乐垂钓,udp://239.45.3.12:5140
游戏风云,udp://239.45.3.131:5140
